hgnc_id	Level2
HGNC:23805	Growth disorders
HGNC:17342	Growth disorders
HGNC:1786	Growth disorders
HGNC:20153	Growth disorders
HGNC:2978	Growth disorders
HGNC:3188	Growth disorders
HGNC:3527	Growth disorders
HGNC:4451	Growth disorders
HGNC:4718	Growth disorders
HGNC:3942	Growth disorders
HGNC:7785	Growth disorders
HGNC:7788	Growth disorders
HGNC:14234	Growth disorders
HGNC:2567	Growth disorders
HGNC:9588	Growth disorders
	Growth disorders
HGNC:236	Neurology and neurodevelopmental disorders
HGNC:800	Neurology and neurodevelopmental disorders
HGNC:801	Neurology and neurodevelopmental disorders
HGNC:870	Neurology and neurodevelopmental disorders
HGNC:1388	Neurology and neurodevelopmental disorders
HGNC:1404	Neurology and neurodevelopmental disorders
HGNC:4326	Neurology and neurodevelopmental disorders
HGNC:4329	Neurology and neurodevelopmental disorders
HGNC:6218	Neurology and neurodevelopmental disorders
HGNC:6296	Neurology and neurodevelopmental disorders
HGNC:6297	Neurology and neurodevelopmental disorders
HGNC:9153	Neurology and neurodevelopmental disorders
HGNC:30500	Neurology and neurodevelopmental disorders
HGNC:10585	Neurology and neurodevelopmental disorders
HGNC:10596	Neurology and neurodevelopmental disorders
HGNC:10941	Neurology and neurodevelopmental disorders
HGNC:11005	Neurology and neurodevelopmental disorders
HGNC:11051	Neurology and neurodevelopmental disorders
HGNC:11257	Neurology and neurodevelopmental disorders
HGNC:3033	Neurology and neurodevelopmental disorders
HGNC:2482	Neurology and neurodevelopmental disorders
HGNC:11588	Neurology and neurodevelopmental disorders
	Neurology and neurodevelopmental disorders
HGNC:10593	Cardiovascular disorders
HGNC:2707	Renal and urinary tract disorders
HGNC:145	Renal and urinary tract disorders
HGNC:333	Renal and urinary tract disorders
HGNC:336	Renal and urinary tract disorders
HGNC:6211	Renal and urinary tract disorders
HGNC:30988	Renal and urinary tract disorders
HGNC:20626	Renal and urinary tract disorders
HGNC:29043	Renal and urinary tract disorders
HGNC:3519	Renal and urinary tract disorders
HGNC:19185	Renal and urinary tract disorders
HGNC:23399	Renal and urinary tract disorders
HGNC:25396	Renal and urinary tract disorders
HGNC:4172	Renal and urinary tract disorders
HGNC:4319	Renal and urinary tract disorders
HGNC:18708	Renal and urinary tract disorders
HGNC:4796	Renal and urinary tract disorders
HGNC:11630	Renal and urinary tract disorders
HGNC:18374	Renal and urinary tract disorders
HGNC:6144	Renal and urinary tract disorders
HGNC:6469	Renal and urinary tract disorders
HGNC:20889	Renal and urinary tract disorders
HGNC:7907	Renal and urinary tract disorders
HGNC:8616	Renal and urinary tract disorders
HGNC:8632	Renal and urinary tract disorders
HGNC:9958	Renal and urinary tract disorders
HGNC:9967	Renal and urinary tract disorders
HGNC:29168	Renal and urinary tract disorders
HGNC:17296	Renal and urinary tract disorders
HGNC:10524	Renal and urinary tract disorders
HGNC:10891	Renal and urinary tract disorders
HGNC:11595	Renal and urinary tract disorders
HGNC:16264	Renal and urinary tract disorders
HGNC:12712	Renal and urinary tract disorders
	Renal and urinary tract disorders
HGNC:13201	Ophthalmological disorders
HGNC:21869	Ophthalmological disorders
HGNC:327	Ophthalmological disorders
HGNC:9722	Ophthalmological disorders
HGNC:20207	Ophthalmological disorders
HGNC:1040	Ophthalmological disorders
HGNC:1041	Ophthalmological disorders
HGNC:16171	Ophthalmological disorders
HGNC:2186	Ophthalmological disorders
HGNC:2195	Ophthalmological disorders
HGNC:2200	Ophthalmological disorders
HGNC:2388	Ophthalmological disorders
HGNC:2389	Ophthalmological disorders
HGNC:2394	Ophthalmological disorders
HGNC:2396	Ophthalmological disorders
HGNC:2397	Ophthalmological disorders
HGNC:2398	Ophthalmological disorders
HGNC:2400	Ophthalmological disorders
HGNC:2410	Ophthalmological disorders
HGNC:2411	Ophthalmological disorders
HGNC:2417	Ophthalmological disorders
HGNC:2605	Ophthalmological disorders
HGNC:2649	Ophthalmological disorders
HGNC:2860	Ophthalmological disorders
HGNC:3188	Ophthalmological disorders
HGNC:3386	Ophthalmological disorders
HGNC:3434	Ophthalmological disorders
HGNC:3435	Ophthalmological disorders
HGNC:3438	Ophthalmological disorders
HGNC:3439	Ophthalmological disorders
HGNC:24587	Ophthalmological disorders
HGNC:3999	Ophthalmological disorders
HGNC:14673	Ophthalmological disorders
HGNC:4118	Ophthalmological disorders
HGNC:4135	Ophthalmological disorders
HGNC:4204	Ophthalmological disorders
HGNC:4277	Ophthalmological disorders
HGNC:4281	Ophthalmological disorders
HGNC:4416	Ophthalmological disorders
HGNC:5017	Ophthalmological disorders
HGNC:5227	Ophthalmological disorders
HGNC:14348	Ophthalmological disorders
HGNC:33882	Ophthalmological disorders
HGNC:15532	Ophthalmological disorders
HGNC:6522	Ophthalmological disorders
HGNC:6610	Ophthalmological disorders
HGNC:6776	Ophthalmological disorders
HGNC:6826	Ophthalmological disorders
HGNC:7103	Ophthalmological disorders
HGNC:31555	Ophthalmological disorders
HGNC:10545	Ophthalmological disorders
HGNC:7579	Ophthalmological disorders
HGNC:7678	Ophthalmological disorders
HGNC:7773	Ophthalmological disorders
HGNC:7820	Ophthalmological disorders
HGNC:8108	Ophthalmological disorders
HGNC:8142	Ophthalmological disorders
HGNC:19317	Ophthalmological disorders
HGNC:8850	Ophthalmological disorders
HGNC:8851	Ophthalmological disorders
HGNC:8853	Ophthalmological disorders
HGNC:8854	Ophthalmological disorders
HGNC:8855	Ophthalmological disorders
HGNC:8856	Ophthalmological disorders
HGNC:8857	Ophthalmological disorders
HGNC:9713	Ophthalmological disorders
HGNC:9717	Ophthalmological disorders
HGNC:22965	Ophthalmological disorders
HGNC:8858	Ophthalmological disorders
HGNC:9719	Ophthalmological disorders
HGNC:8859	Ophthalmological disorders
HGNC:8860	Ophthalmological disorders
HGNC:9006	Ophthalmological disorders
HGNC:14966	Ophthalmological disorders
HGNC:10547	Ophthalmological disorders
HGNC:24624	Ophthalmological disorders
HGNC:11005	Ophthalmological disorders
HGNC:95	Ophthalmological disorders
HGNC:25812	Ophthalmological disorders
HGNC:30831	Ophthalmological disorders
HGNC:11742	Ophthalmological disorders
HGNC:12692	Ophthalmological disorders
HGNC:12791	Ophthalmological disorders
HGNC:1442	Cardiovascular disorders
HGNC:1445	Cardiovascular disorders
HGNC:1513	Cardiovascular disorders
HGNC:12261	Cardiovascular disorders
HGNC:4512	Neurology and neurodevelopmental disorders
HGNC:469	Neurology and neurodevelopmental disorders
HGNC:1394	Neurology and neurodevelopmental disorders
HGNC:1497	Neurology and neurodevelopmental disorders
HGNC:8740	Neurology and neurodevelopmental disorders
HGNC:16999	Neurology and neurodevelopmental disorders
HGNC:25613	Neurology and neurodevelopmental disorders
HGNC:2890	Neurology and neurodevelopmental disorders
HGNC:6180	Neurology and neurodevelopmental disorders
HGNC:6235	Neurology and neurodevelopmental disorders
HGNC:13664	Neurology and neurodevelopmental disorders
HGNC:8148	Neurology and neurodevelopmental disorders
HGNC:23734	Neurology and neurodevelopmental disorders
HGNC:21406	Neurology and neurodevelopmental disorders
HGNC:9957	Neurology and neurodevelopmental disorders
HGNC:13433	Neurology and neurodevelopmental disorders
HGNC:30605	Neurology and neurodevelopmental disorders
HGNC:14977	Neurology and neurodevelopmental disorders
HGNC:11276	Neurology and neurodevelopmental disorders
HGNC:11824	Neurology and neurodevelopmental disorders
HGNC:15954	Neurology and neurodevelopmental disorders
HGNC:28422	Neurology and neurodevelopmental disorders
HGNC:15506	Neurology and neurodevelopmental disorders
HGNC:20766	Neurology and neurodevelopmental disorders
HGNC:30829	Neurology and neurodevelopmental disorders
HGNC:20772	Neurology and neurodevelopmental disorders
HGNC:12698	Neurology and neurodevelopmental disorders
HGNC:12718	Neurology and neurodevelopmental disorders
HGNC:26600	Neurology and neurodevelopmental disorders
HGNC:2861	Metabolic disorders
HGNC:3791	Metabolic disorders
HGNC:7436	Metabolic disorders
HGNC:30521	Metabolic disorders
HGNC:130	Neurology and neurodevelopmental disorders
HGNC:175	Neurology and neurodevelopmental disorders
HGNC:1839	Neurology and neurodevelopmental disorders
HGNC:882	Neurology and neurodevelopmental disorders
HGNC:21708	Neurology and neurodevelopmental disorders
HGNC:29298	Neurology and neurodevelopmental disorders
HGNC:2201	Neurology and neurodevelopmental disorders
HGNC:3327	Neurology and neurodevelopmental disorders
HGNC:3349	Neurology and neurodevelopmental disorders
HGNC:20105	Neurology and neurodevelopmental disorders
HGNC:4685	Neurology and neurodevelopmental disorders
HGNC:4827	Neurology and neurodevelopmental disorders
HGNC:6188	Neurology and neurodevelopmental disorders
HGNC:1573	Neurology and neurodevelopmental disorders
HGNC:7765	Neurology and neurodevelopmental disorders
HGNC:7883	Neurology and neurodevelopmental disorders
HGNC:16068	Neurology and neurodevelopmental disorders
HGNC:8761	Neurology and neurodevelopmental disorders
HGNC:9008	Neurology and neurodevelopmental disorders
HGNC:9009	Neurology and neurodevelopmental disorders
HGNC:9871	Neurology and neurodevelopmental disorders
HGNC:15925	Neurology and neurodevelopmental disorders
HGNC:13444	Neurology and neurodevelopmental disorders
HGNC:17754	Neurology and neurodevelopmental disorders
HGNC:427	Cancer Programme
HGNC:1058	Cancer Programme
HGNC:1097	Cancer Programme
HGNC:1541	Cancer Programme
HGNC:1786	Cancer Programme
HGNC:2718	Cancer Programme
HGNC:3433	Cancer Programme
HGNC:3434	Cancer Programme
HGNC:3435	Cancer Programme
HGNC:3436	Cancer Programme
HGNC:3437	Cancer Programme
HGNC:3582	Cancer Programme
HGNC:3584	Cancer Programme
HGNC:3585	Cancer Programme
HGNC:3586	Cancer Programme
HGNC:3587	Cancer Programme
HGNC:3588	Cancer Programme
HGNC:25568	Cancer Programme
HGNC:20748	Cancer Programme
HGNC:6407	Cancer Programme
HGNC:6840	Cancer Programme
HGNC:6842	Cancer Programme
HGNC:7652	Cancer Programme
HGNC:14377	Cancer Programme
HGNC:14378	Cancer Programme
HGNC:7989	Cancer Programme
HGNC:8619	Cancer Programme
HGNC:9143	Cancer Programme
HGNC:9388	Cancer Programme
HGNC:9644	Cancer Programme
HGNC:9829	Cancer Programme
HGNC:9949	Cancer Programme
HGNC:15454	Cancer Programme
HGNC:11187	Cancer Programme
HGNC:11730	Cancer Programme
HGNC:12791	Cancer Programme
HGNC:12814	Cancer Programme
HGNC:12816	Cancer Programme
HGNC:327	Skeletal disorders
HGNC:719	Skeletal disorders
HGNC:3133	Skeletal disorders
HGNC:4416	Skeletal disorders
HGNC:8860	Skeletal disorders
HGNC:12362	Neurology and neurodevelopmental disorders
HGNC:12363	Neurology and neurodevelopmental disorders
HGNC:132	Dysmorphic and congenital abnormality syndromes
HGNC:144	Dysmorphic and congenital abnormality syndromes
HGNC:26837	Dysmorphic and congenital abnormality syndromes
HGNC:21316	Dysmorphic and congenital abnormality syndromes
HGNC:29216	Dysmorphic and congenital abnormality syndromes
HGNC:18318	Dysmorphic and congenital abnormality syndromes
HGNC:20207	Dysmorphic and congenital abnormality syndromes
HGNC:20893	Dysmorphic and congenital abnormality syndromes
HGNC:24564	Dysmorphic and congenital abnormality syndromes
HGNC:25801	Dysmorphic and congenital abnormality syndromes
HGNC:29253	Dysmorphic and congenital abnormality syndromes
HGNC:1748	Dysmorphic and congenital abnormality syndromes
HGNC:1786	Dysmorphic and congenital abnormality syndromes
HGNC:20626	Dysmorphic and congenital abnormality syndromes
HGNC:1967	Dysmorphic and congenital abnormality syndromes
HGNC:24464	Dysmorphic and congenital abnormality syndromes
HGNC:2186	Dysmorphic and congenital abnormality syndromes
HGNC:2187	Dysmorphic and congenital abnormality syndromes
